Time;Moisture;temperature
20.03.2014 19:18;2;0
20.03.2014 19:19;1;1
20.03.2014 19:19;2;1
20.03.2014 19:19;1;1
20.03.2014 19:19;2;1
20.03.2014 19:19;2;1
20.03.2014 19:19;4;0
20.03.2014 19:19;5;0
20.03.2014 19:19;4;0
20.03.2014 19:19;6;0
20.03.2014 19:19;7;0
20.03.2014 19:19;8;0
20.03.2014 19:19;7;0
20.03.2014 19:20;9;0
20.03.2014 19:20;10;0
20.03.2014 19:20;10;0
20.03.2014 19:20;8;0
20.03.2014 19:20;10;1
20.03.2014 19:20;14;3
20.03.2014 19:20;14;3
20.03.2014 19:20;15;5
20.03.2014 19:20;14;5
20.03.2014 19:20;16;2
20.03.2014 19:20;16;2
20.03.2014 19:20;18;3
20.03.2014 19:21;17;3
20.03.2014 19:21;18;3
20.03.2014 19:21;19;3
20.03.2014 19:21;18;3
20.03.2014 19:21;19;3
20.03.2014 19:21;20;4
20.03.2014 19:21;20;4
20.03.2014 19:21;21;4
20.03.2014 19:21;21;4
20.03.2014 19:21;21;5
20.03.2014 19:21;21;4
20.03.2014 19:21;21;3
20.03.2014 19:22;21;3
20.03.2014 19:22;22;3
20.03.2014 19:22;23;3
20.03.2014 19:22;22;4
20.03.2014 19:22;23;4
20.03.2014 19:22;24;4
20.03.2014 19:22;24;4
20.03.2014 19:22;24;4
20.03.2014 19:22;25;4
20.03.2014 19:22;25;6
20.03.2014 19:22;27;3
20.03.2014 19:23;27;3
20.03.2014 19:23;27;3
20.03.2014 19:23;28;4
20.03.2014 19:23;28;4
20.03.2014 19:23;29;4
20.03.2014 19:23;29;4
20.03.2014 19:23;30;3
20.03.2014 19:23;31;4
20.03.2014 19:23;32;4
20.03.2014 19:23;34;4
20.03.2014 19:23;34;4
20.03.2014 19:23;36;4
20.03.2014 19:24;38;4
20.03.2014 19:24;37;4
20.03.2014 19:24;39;4
20.03.2014 19:24;41;4
20.03.2014 19:24;43;4
20.03.2014 19:24;45;4
20.03.2014 19:24;48;4
20.03.2014 19:24;51;4
20.03.2014 19:24;54;4
20.03.2014 19:24;56;4
20.03.2014 19:24;59;4
20.03.2014 19:24;64;4
20.03.2014 19:25;67;4
20.03.2014 19:25;72;4
20.03.2014 19:25;77;4
20.03.2014 19:25;84;4
20.03.2014 19:25;92;4
20.03.2014 19:25;100;4
20.03.2014 19:25;108;4
20.03.2014 19:25;118;4
20.03.2014 19:25;128;5
20.03.2014 19:25;136;4
20.03.2014 19:25;148;5
20.03.2014 19:25;156;5
20.03.2014 19:26;163;5
20.03.2014 19:26;172;5
20.03.2014 19:26;178;5
20.03.2014 19:26;186;5
20.03.2014 19:26;193;5
20.03.2014 19:26;199;5
20.03.2014 19:26;207;5
20.03.2014 19:26;214;5
20.03.2014 19:26;223;5
20.03.2014 19:26;232;5
20.03.2014 19:26;239;5
20.03.2014 19:26;247;5
20.03.2014 19:27;253;5
20.03.2014 19:27;257;4
20.03.2014 19:27;263;6
20.03.2014 19:27;267;6
20.03.2014 19:27;269;6
20.03.2014 19:27;270;6
20.03.2014 19:27;272;6
20.03.2014 19:27;272;6
20.03.2014 19:27;275;6
20.03.2014 19:27;276;6
20.03.2014 19:27;278;6
20.03.2014 19:27;280;6
20.03.2014 19:28;282;6
20.03.2014 19:28;286;6
