Time;Moisture;temperature
2014.03.20 19:18:56;2;0.0
2014.03.20 19:19:01;1;1.0
2014.03.20 19:19:06;2;1.0
2014.03.20 19:19:11;1;1.0
2014.03.20 19:19:16;2;1.0
2014.03.20 19:19:21;2;1.0
2014.03.20 19:19:26;4;0.0
2014.03.20 19:19:31;5;0.0
2014.03.20 19:19:36;4;0.0
2014.03.20 19:19:41;6;0.0
2014.03.20 19:19:46;7;0.0
2014.03.20 19:19:51;8;0.0
2014.03.20 19:19:56;7;0.0
2014.03.20 19:20:01;9;0.0
2014.03.20 19:20:06;10;0.0
2014.03.20 19:20:11;10;0.0
2014.03.20 19:20:16;8;0.0
2014.03.20 19:20:21;10;1.0
2014.03.20 19:20:26;14;3.0
2014.03.20 19:20:31;14;3.0
2014.03.20 19:20:36;15;5.0
2014.03.20 19:20:41;14;5.0
2014.03.20 19:20:46;16;2.0
2014.03.20 19:20:51;16;2.0
2014.03.20 19:20:56;18;3.0
2014.03.20 19:21:01;17;3.0
2014.03.20 19:21:06;18;3.0
2014.03.20 19:21:11;19;3.0
2014.03.20 19:21:17;18;3.0
2014.03.20 19:21:22;19;3.0
2014.03.20 19:21:27;20;4.0
2014.03.20 19:21:33;20;4.0
2014.03.20 19:21:38;21;4.0
2014.03.20 19:21:43;21;4.0
2014.03.20 19:21:49;21;5.0
2014.03.20 19:21:54;21;4.0
2014.03.20 19:21:59;21;3.0
2014.03.20 19:22:04;21;3.0
2014.03.20 19:22:09;22;3.0
2014.03.20 19:22:15;23;3.0
2014.03.20 19:22:20;22;4.0
2014.03.20 19:22:25;23;4.0
2014.03.20 19:22:30;24;4.0
2014.03.20 19:22:35;24;4.0
2014.03.20 19:22:40;24;4.0
2014.03.20 19:22:45;25;4.0
2014.03.20 19:22:50;25;6.0
2014.03.20 19:22:55;27;3.0
2014.03.20 19:23:00;27;3.0
2014.03.20 19:23:05;27;3.0
2014.03.20 19:23:10;28;4.0
2014.03.20 19:23:15;28;4.0
2014.03.20 19:23:20;29;4.0
2014.03.20 19:23:25;29;4.0
2014.03.20 19:23:30;30;3.0
2014.03.20 19:23:35;31;4.0
2014.03.20 19:23:40;32;4.0
2014.03.20 19:23:45;34;4.0
2014.03.20 19:23:50;34;4.0
2014.03.20 19:23:55;36;4.0
2014.03.20 19:24:00;38;4.0
2014.03.20 19:24:06;37;4.0
2014.03.20 19:24:11;39;4.0
2014.03.20 19:24:16;41;4.0
2014.03.20 19:24:21;43;4.0
2014.03.20 19:24:26;45;4.0
2014.03.20 19:24:31;48;4.0
2014.03.20 19:24:36;51;4.0
2014.03.20 19:24:41;54;4.0
2014.03.20 19:24:46;56;4.0
2014.03.20 19:24:51;59;4.0
2014.03.20 19:24:56;64;4.0
2014.03.20 19:25:01;67;4.0
2014.03.20 19:25:06;72;4.0
2014.03.20 19:25:11;77;4.0
2014.03.20 19:25:16;84;4.0
2014.03.20 19:25:21;92;4.0
2014.03.20 19:25:26;100;4.0
2014.03.20 19:25:31;108;4.0
2014.03.20 19:25:36;118;4.0
2014.03.20 19:25:41;128;5.0
2014.03.20 19:25:46;136;4.0
2014.03.20 19:25:51;148;5.0
2014.03.20 19:25:56;156;5.0
2014.03.20 19:26:01;163;5.0
2014.03.20 19:26:06;172;5.0
2014.03.20 19:26:11;178;5.0
2014.03.20 19:26:16;186;5.0
2014.03.20 19:26:21;193;5.0
2014.03.20 19:26:26;199;5.0
